OBJECTID,X,Y,Area,Demand
0,29.010067681,41.005568511,0.0,0.0
1,29.041712288,40.981627253,502.736702119,0.0
2,29.040079313,41.001498561,509.980418893,0.0
3,29.081425379,40.985385839,65000.0,0.0
4,29.03865851,40.972710324,552.857285649,0.0
5,29.048300854,40.987947941,560.704114996,0.0
6,29.086067221,40.963298776,563.005324361,0.0
7,29.066169492,40.974014455,579.470233037,0.0
8,29.075019593,40.961101098,579.662287065,0.0
9,29.043696808,40.994285663,588.636480687,0.0
10,29.0682638,40.9664793,594.89232968,0.0
11,29.057215853,40.974294863,596.76403828,0.0
12,29.0318554,41.00610785,598.225388523,0.0
13,29.05462745,40.974646,616.74039164,0.0
14,29.083995529,40.963854204,618.798841471,0.0
15,29.037946641,40.986347102,624.61158546,0.0
16,29.042414205,40.98099063,633.804892866,0.0
17,29.100294018,40.965925901,647.378618833,0.0
18,29.042055173,40.994783677,648.344498383,0.0
19,29.05356495,40.9692906,653.417903475,0.0
20,29.037324963,40.998616698,656.297630925,0.0
21,29.084303567,40.9705765,680.364968709,0.0
22,29.045149415,40.996182403,704.951778545,0.0
23,29.09842402,40.977806598,70000.0,0.0
24,29.026647698,40.995944052,738.877147549,0.0
25,29.083513191,40.960853264,749.158792919,0.0
26,29.105881067,40.958706433,763.752711963,0.0
27,29.08333869,40.964316492,818.167205703,0.0
28,29.042608708,41.009284839,826.985215577,0.0
29,29.023114541,40.999364568,50000.0,0.0
30,29.049653501,40.997586734,866.546698241,0.0
31,29.076383645,40.980873221,891.012043745,0.0
32,29.083244378,40.969705664,899.373501063,0.0
33,29.0675763,40.9699876,913.541819478,0.0
34,29.042141837,40.970974367,927.392068701,0.0
35,29.036702418,40.99696536,951.347779794,0.0
36,29.0486676,40.984538925,969.229782426,0.0
37,29.034335231,40.991219575,20000.0,0.0
38,29.069313644,40.97787338,993.594863334,0.0
39,29.040954888,41.005725998,1032.43230978,0.0
40,29.083083075,40.961917366,1094.2371551,0.0
41,29.038219444,40.985347393,1158.0721959,0.0
42,29.048768661,41.00002725,1161.33360191,0.0
43,29.033248095,41.008339969,1164.63720086,0.0
44,29.063596121,40.984259036,1183.86757215,0.0
45,29.044806739,40.974357526,1188.41010585,0.0
46,29.097980193,40.973427268,1188.54227527,0.0
47,29.031616246,40.983976525,1277.16844444,0.0
48,29.034669913,41.001290425,20000.0,0.0
49,29.043690888,41.009582249,1307.7836114,0.0
50,29.037181654,41.011993178,1311.08712409,0.0
51,29.081616837,40.963898095,1412.11859893,0.0
52,29.048579649,40.98026,1447.39323574,0.0
53,29.043241551,40.989927674,1547.5376555,0.0
54,29.076709491,40.978540583,1588.81125665,0.0
55,29.087096625,40.984162899,1625.22848888,0.0
56,29.099984274,40.967404705,1765.35367492,0.0
57,29.043616761,40.987588743,1777.08385467,0.0
58,29.080307156,40.970765116,1825.83126159,0.0
59,29.085581509,40.980694885,1874.0733704,0.0
60,29.084827858,40.987091507,1930.59294172,0.0
61,29.036009311,40.986531746,1956.60475167,0.0
62,29.042313803,40.991170174,1990.6240407,0.0
63,29.092691918,40.97929828,2059.13344232,0.0
64,29.058149417,40.989120302,2065.1448507,0.0
65,29.088456465,40.983627657,2087.81172479,0.0
66,29.041869375,41.005094893,2098.35838729,0.0
67,29.074379201,40.985054893,2135.72746482,0.0
68,29.028052002,40.996224881,2156.08442375,0.0
69,29.089730514,40.968080384,2193.70050219,0.0
70,29.086706086,40.978546079,2245.83953072,0.0
71,29.086084228,40.979570031,2291.67369689,0.0
72,29.059074899,40.97513087,2337.95810873,0.0
73,29.046857097,40.975982472,2381.94159599,0.0
74,29.073515339,40.987598526,2425.89558875,0.0
75,29.098018697,40.957575428,2466.740493,0.0
76,29.050804429,40.969140047,2518.66492082,0.0
77,29.088135061,40.98605764,2544.64416931,0.0
78,29.07911686,40.98169463,2603.8014054,0.0
79,29.052546732,40.981577109,2685.80483944,0.0
80,29.025210529,40.98229459,2715.33103371,0.0
81,29.028670923,40.986367848,2721.123744,0.0
82,29.087939912,40.959183884,2739.29183455,0.0
83,29.093087079,40.968307467,2766.99622183,0.0
84,29.038798654,40.9900841,2775.05153026,0.0
85,29.054173081,40.99111034,2896.13105841,0.0
86,29.042899637,40.975130089,2904.01973488,0.0
87,29.089316136,40.959873371,3061.59309277,0.0
88,29.087663332,40.985234307,3062.24662874,0.0
